country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,standard_category,price_local_numeric,barcode_harmonized,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Aviva 9 Und,,,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://plazalama.com.do/p/galletas-de-soda-aviva-9-uds-7468339190343?utm_source=supermercadosrd,Cookies,89.0,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Aviva 9 Und,,,87.0,1.38,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://sirena.do/products/index/galletas-de-soda-aviva-9-uds-?utm_source=supermercadosrd,Cookies,87.0,,Aviva_Galleta De Soda Aviva 9 Und,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://bravova.superbravo.com.do/articulos/6034?utm_source=supermercadosrd,Cookies,109.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Garrido,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,110.0,1.74,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://www.garrido.com.do/p/262344?utm_source=supermercadosrd,Cookies,110.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://jumbo.com.do/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,Cookies,98.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,97.0,1.54,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://mercajumbo.com.do/?utm_source=supermercadosrd,Cookies,97.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://supermercadosnacional.com/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,Cookies,98.95,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,104.0,1.65,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://plazalama.com.do/p/galletas-integrales-aviva-9-uds-7468339190367?utm_source=supermercadosrd,Cookies,104.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,103.0,1.63,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://sirena.do/products/index/galletas-de-soda-aviva-integrales-9-uds-?utm_source=supermercadosrd,Cookies,103.0,7468339190367,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://bravova.superbravo.com.do/articulos/10309?utm_source=supermercadosrd,Cookies,109.0,7468339190374,7468339190374,1,,Market
