country,currency,category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,source_url,standard_category,price_local_numeric,data_quality_brand,data_quality_weight,data_quality_price_kg,scrape_date,source_category,search_term,price_text,price_gyd,image_url,price_per_kg_gyd,page,regional_sku,regional_overlap,competitive_index,price_positioning
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,97.0,1.54,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://mercajumbo.com.do/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,97.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://supermercadosnacional.com/galleta-de-soda-integral-aviva-9-und-paq-2122881?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,98.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,104.0,1.65,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://plazalama.com.do/p/galletas-integrales-aviva-9-uds-7468339190367?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,104.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Integral Aviva 9 Und,7468339190367,13,103.0,1.63,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,https://sirena.do/products/index/galletas-de-soda-aviva-integrales-9-uds-?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-integral-aviva-9-und/18822,Cookies,103.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190367,1,,Market
Dominican Republic,DOP,Galletas,Bravo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://bravova.superbravo.com.do/articulos/10309?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,109.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Jumbo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://jumbo.com.do/galleta-de-soda-multicereal-aviva-9-und-paq-2122882?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,98.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Merca Jumbo,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,97.0,1.54,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://mercajumbo.com.do/?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,97.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Nacional,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://supermercadosnacional.com/galleta-de-soda-multicereal-aviva-9-und-paq-2122882?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,98.95,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Plaza Lama,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,104.0,1.65,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://plazalama.com.do/p/galletas-de-multicereal-con-miel-aviva-9-uds-7468339190374?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,104.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
Dominican Republic,DOP,Galletas,Sirena,Aviva,Galleta De Soda Multicereal Aviva 9 Und,7468339190374,13,103.0,1.63,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,https://sirena.do/products/index/galletas-de-soda-aviva-multicereal-con-miel-9-uds-?utm_source=supermercadosrd,https://supermercadosrd.com/productos/galleta-de-soda-multicereal-aviva-9-und/18688,Cookies,103.0,OK,Missing Weight,Missing Price/KG,,,,,,,,,7468339190374,1,,Market
