search_term,country,currency,category,source_category,retailer,brand,product_name,barcode,barcode_length,price_local,price_usd,presentation,weight_kg,price_per_100g_local,price_per_kg_usd,segment,type,product_url,retailer_url,product_name_clean,standard_category,price_local_numeric,scrape_date,price_text,price_gyd,image_url,source_url,price_per_kg_gyd,page,brand_original,barcode_harmonized,sku_text_key,weight_bucket,match_key,family_key,family_overlap,regional_overlap,commercial_overlap,competitive_index,price_positioning
galleta,Dominican Republic,DOP,Galletas,Galletas,Garrido,Aviva,Galleta De Soda Aviva 9 Und,,,95.0,1.51,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://www.garrido.com.do/p/261393?utm_source=supermercadosrd,Aviva,Cookies,95.0,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,82.0,1.3,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://jumbo.com.do/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Aviva,Cookies,82.0,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Merca Jumbo,Aviva,Galleta De Soda Aviva 9 Und,,,81.0,1.28,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://mercajumbo.com.do/?utm_source=supermercadosrd,Aviva,Cookies,81.0,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Nacional,Aviva,Galleta De Soda Aviva 9 Und,,,82.95,1.31,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://supermercadosnacional.com/galleta-de-soda-aviva-10-und-paq-2110467?utm_source=supermercadosrd,Aviva,Cookies,82.95,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Aviva,Galleta De Soda Aviva 9 Und,,,89.0,1.41,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://plazalama.com.do/p/galletas-de-soda-aviva-9-uds-7468339190343?utm_source=supermercadosrd,Aviva,Cookies,89.0,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Sirena,Aviva,Galleta De Soda Aviva 9 Und,,,87.0,1.38,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-aviva-9-und/18651,https://sirena.do/products/index/galletas-de-soda-aviva-9-uds-?utm_source=supermercadosrd,Aviva,Cookies,87.0,,,,,,,,Galleta De Soda,,aviva_galleta de soda aviva 9 und,unknown,aviva_galleta de soda aviva 9 und_unknown,aviva_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Bravo,Galleta De Soda,Galleta De Soda Finas Hierbas Aviva Peq 9 Und,7468339190381,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-finas-hierbas-aviva-peq-9-und/18808,https://bravova.superbravo.com.do/articulos/4686?utm_source=supermercadosrd,Finas Hierbas Aviva Peq,Cookies,109.0,,,,,,,,Galleta De Soda,7468339190381,galleta de soda_galleta de soda finas hierbas aviva peq 9 und,unknown,7468339190381,galleta de soda_finas_hierbas_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Jumbo,Galleta De Soda,Galleta De Soda Finas Hierbas Aviva Peq 9 Und,7468339190381,13,98.0,1.55,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-finas-hierbas-aviva-peq-9-und/18808,https://jumbo.com.do/galleta-de-soda-finas-hierbas-aviva-peq-9-und-paq-2163996?utm_source=supermercadosrd,Finas Hierbas Aviva Peq,Cookies,98.0,,,,,,,,Galleta De Soda,7468339190381,galleta de soda_galleta de soda finas hierbas aviva peq 9 und,unknown,7468339190381,galleta de soda_finas_hierbas_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Nacional,Galleta De Soda,Galleta De Soda Finas Hierbas Aviva Peq 9 Und,7468339190381,13,98.95,1.57,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-finas-hierbas-aviva-peq-9-und/18808,https://supermercadosnacional.com/galleta-de-soda-finas-hierbas-aviva-peq-9-und-paq-2163996?utm_source=supermercadosrd,Finas Hierbas Aviva Peq,Cookies,98.95,,,,,,,,Galleta De Soda,7468339190381,galleta de soda_galleta de soda finas hierbas aviva peq 9 und,unknown,7468339190381,galleta de soda_finas_hierbas_aviva,1,1,1,,Market
galleta,Dominican Republic,DOP,Galletas,Galletas,Plaza Lama,Galleta De Soda,Galleta De Soda Finas Hierbas Aviva Peq 9 Und,7468339190381,13,109.0,1.73,9 UND,,,,Mass,Salada,https://supermercadosrd.com/productos/galleta-de-soda-finas-hierbas-aviva-peq-9-und/18808,https://plazalama.com.do/p/galletas-de-soda-aviva-finas-hierbas-9-uds-7468339190381?utm_source=supermercadosrd,Finas Hierbas Aviva Peq,Cookies,109.0,,,,,,,,Galleta De Soda,7468339190381,galleta de soda_galleta de soda finas hierbas aviva peq 9 und,unknown,7468339190381,galleta de soda_finas_hierbas_aviva,1,1,1,,Market
